,DATE,TICKER,PRICE,SHARES,BALANCE,CASH,BUY/SELL
0,09/06/2021,SNAP,61.77,4,500.0,252.92,BUY
1,09/06/2021,SNAP,61.77,2,500.0,376.46,SELL
2,09/06/2021,MSFT,253.59,1,500.0,122.86999999999998,BUY
3,09/06/2021,TYL,416.31,1,1500.0,706.56,BUY
4,09/06/2021,NOW,464.71,1,1500.0,241.85,BUY
5,09/06/2021,SNAP,61.77,1,1500.0,180.07999999999998,BUY
6,10/06/2021,SNAP,61.89,1,1530.7599000000002,118.18999999999998,BUY
7,10/06/2021,SNAP,61.91,4,1531.06,365.83,SELL
8,15/09/2021,SNAP,71.31,2,1779.0099999999998,223.20999999999998,BUY
